region,incomegroup,foundedyr
East Asia and Pacific,High income,1908
East Asia and Pacific,High income,1946
East Asia and Pacific,High income,1930
East Asia and Pacific,High income,1874
East Asia and Pacific,High income,1976
East Asia and Pacific,High income,1951
East Asia and Pacific,High income,1909
East Asia and Pacific,High income,1911
East Asia and Pacific,High income,1870
East Asia and Pacific,High income,1989
East Asia and Pacific,High income,2008
East Asia and Pacific,High income,1853
East Asia and Pacific,High income,1938
East Asia and Pacific,High income,1949
East Asia and Pacific,High income,1989
East Asia and Pacific,High income,1991
East Asia and Pacific,High income,1967
East Asia and Pacific,High income,1850
South Asia,Lower middle income,2012
East Asia and Pacific,High income,1965
East Asia and Pacific,High income,1994
East Asia and Pacific,High income,1989
East Asia and Pacific,High income,1989
East Asia and Pacific,High income,1891
East Asia and Pacific,High income,1989
East Asia and Pacific,High income,1951
East Asia and Pacific,High income,1916
East Asia and Pacific,High income,1982
East Asia and Pacific,High income,1948
East Asia and Pacific,High income,1972
East Asia and Pacific,High income,2004
East Asia and Pacific,High income,1991
East Asia and Pacific,High income,1986
East Asia and Pacific,High income,1995
East Asia and Pacific,High income,1982
East Asia and Pacific,High income,1996
East Asia and Pacific,High income,1910
East Asia and Pacific,High income,1997
East Asia and Pacific,High income,1996
East Asia and Pacific,High income,1926
East Asia and Pacific,High income,1973
East Asia and Pacific,High income,1983
East Asia and Pacific,High income,2012
East Asia and Pacific,High income,1983
East Asia and Pacific,High income,1968
East Asia and Pacific,High income,1961
South Asia,Lower middle income,2003
East Asia and Pacific,High income,1928
East Asia and Pacific,High income,1952
East Asia and Pacific,High income,1959
East Asia and Pacific,High income,2014
East Asia and Pacific,High income,1972
East Asia and Pacific,High income,2012
East Asia and Pacific,High income,2012
East Asia and Pacific,High income,1988
East Asia and Pacific,High income,1998
East Asia and Pacific,High income,2014
Europe and Central Asia,High income,1688
Europe and Central Asia,High income,1970
Europe and Central Asia,High income,1823
Europe and Central Asia,High income,2001
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1999
South Asia,Lower middle income,2011
Latin America and Caribbean,Upper middle income,1934
Latin America and Caribbean,Upper middle income,1936
Latin America and Caribbean,Upper middle income,1972
Europe and Central Asia,Upper middle income,1953
East Asia and Pacific,Lower middle income,1918
North America,High income,1957
Latin America and Caribbean,Lower middle income,1624
Latin America and Caribbean,Lower middle income,1985
Latin America and Caribbean,Lower middle income,1997
Latin America and Caribbean,Lower middle income,1999
Latin America and Caribbean,Lower middle income,1992
Latin America and Caribbean,Lower middle income,1984
Latin America and Caribbean,Upper middle income,1928
Latin America and Caribbean,Upper middle income,1956
Latin America and Caribbean,Upper middle income,1944
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,1992
Latin America and Caribbean,Upper middle income,1990
Latin America and Caribbean,Upper middle income,1991
Latin America and Caribbean,Upper middle income,1960
Latin America and Caribbean,Upper middle income,1990
Europe and Central Asia,High income,1896
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,2003
Europe and Central Asia,High income,1922
Latin America and Caribbean,Upper middle income,1613
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1988
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1989
Latin America and Caribbean,Upper middle income,1958
Latin America and Caribbean,Upper middle income,1962
Latin America and Caribbean,Upper middle income,1980
Europe and Central Asia,High income,1888
Latin America and Caribbean,Upper middle income,1884
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1972
Europe and Central Asia,High income,1995
Latin America and Caribbean,Upper middle income,1961
Europe and Central Asia,High income,1994
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1989
Latin America and Caribbean,Upper middle income,1971
Latin America and Caribbean,Upper middle income,1968
Europe and Central Asia,High income,1995
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1992
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1995
Europe and Central Asia,High income,1960
Latin America and Caribbean,Upper middle income,1912
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,1974
Latin America and Caribbean,Upper middle income,1962
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1975
Europe and Central Asia,High income,1995
Latin America and Caribbean,Upper middle income,1964
Europe and Central Asia,High income,2007
Latin America and Caribbean,Upper middle income,1889
Latin America and Caribbean,Upper middle income,1956
Latin America and Caribbean,Upper middle income,2002
Latin America and Caribbean,Upper middle income,1946
Latin America and Caribbean,Upper middle income,1962
Latin America and Caribbean,Upper middle income,1948
Latin America and Caribbean,Upper middle income,1991
Latin America and Caribbean,Upper middle income,2012
Latin America and Caribbean,Upper middle income,1974
Latin America and Caribbean,Upper middle income,2009
Latin America and Caribbean,Upper middle income,2009
Latin America and Caribbean,Upper middle income,2007
Latin America and Caribbean,Upper middle income,2009
Latin America and Caribbean,Upper middle income,2009
Latin America and Caribbean,Upper middle income,2009
Latin America and Caribbean,Upper middle income,2007
Europe and Central Asia,Upper middle income,1929
Latin America and Caribbean,Upper middle income,2009
Latin America and Caribbean,Upper middle income,2009
Latin America and Caribbean,Upper middle income,2012
Latin America and Caribbean,Upper middle income,2007
Latin America and Caribbean,Upper middle income,2008
Latin America and Caribbean,Upper middle income,1980
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,1990
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,2001
Europe and Central Asia,Upper middle income,1999
Europe and Central Asia,Upper middle income,1993
Europe and Central Asia,Upper middle income,1990
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,1967
Europe and Central Asia,Upper middle income,1934
Europe and Central Asia,Upper middle income,1990
Europe and Central Asia,Upper middle income,1990
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,2000
Europe and Central Asia,Upper middle income,2004
Europe and Central Asia,Upper middle income,2004
Europe and Central Asia,High income,1996
Europe and Central Asia,High income,1996
Europe and Central Asia,High income,2009
Europe and Central Asia,Upper middle income,1930
Europe and Central Asia,Upper middle income,1959
Europe and Central Asia,Upper middle income,1997
Europe and Central Asia,Upper middle income,1933
Europe and Central Asia,High income,1880
Europe and Central Asia,Upper middle income,1997
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,1930
Europe and Central Asia,Upper middle income,1996
Europe and Central Asia,Upper middle income,1996
Europe and Central Asia,Upper middle income,1998
South Asia,Lower middle income,2013
Europe and Central Asia,Upper middle income,1922
Europe and Central Asia,Upper middle income,1945
Europe and Central Asia,Upper middle income,1997
Europe and Central Asia,Upper middle income,1996
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1969
Europe and Central Asia,Upper middle income,1996
Europe and Central Asia,Upper middle income,1990
Europe and Central Asia,Upper middle income,1989
Europe and Central Asia,Upper middle income,1999
Europe and Central Asia,Upper middle income,1997
Europe and Central Asia,High income,1996
Europe and Central Asia,High income,1995
Europe and Central Asia,High income,1997
Europe and Central Asia,High income,1995
Europe and Central Asia,High income,1996
South Asia,Low income,1998
South Asia,Low income,2006
South Asia,Low income,2009
South Asia,Low income,2004
South Asia,Low income,1988
South Asia,Low income,1993
South Asia,Low income,2005
South Asia,Low income,1988
South Asia,Low income,1996
South Asia,Low income,1977
South Asia,Low income,2008
South Asia,Low income,1988
South Asia,Low income,2002
South Asia,Low income,1913
South Asia,Low income,1932
South Asia,Low income,1963
South Asia,Low income,1990
South Asia,Low income,2002
South Asia,Low income,2007
South Asia,Low income,2007
South Asia,Low income,2006
South Asia,Low income,1967
South Asia,Low income,2009
South Asia,Low income,2007
South Asia,Low income,2007
South Asia,Low income,1962
South Asia,Low income,2003
South Asia,Low income,1932
South Asia,Low income,2008
South Asia,Low income,1992
South Asia,Low income,1991
South Asia,Low income,2009
South Asia,Low income,2009
South Asia,Low income,2010
South Asia,Low income,2010
South Asia,Low income,2010
Europe and Central Asia,Upper middle income,2004
South Asia,Low income,2014
South Asia,Low income,2014
South Asia,Low income,2006
South Asia,Low income,2010
South Asia,Low income,2012
South Asia,Low income,2011
South Asia,Low income,2015
Europe and Central Asia,Upper middle income,1966
Europe and Central Asia,Upper middle income,1971
Europe and Central Asia,Upper middle income,1971
Europe and Central Asia,Upper middle income,2005
Europe and Central Asia,Upper middle income,2003
Europe and Central Asia,Upper middle income,2005
Europe and Central Asia,Upper middle income,1909
Europe and Central Asia,Upper middle income,1951
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,2006
Europe and Central Asia,Upper middle income,1957
Europe and Central Asia,Upper middle income,1948
Europe and Central Asia,Upper middle income,1957
Middle East and North Africa,Lower middle income,1962
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,2003
Europe and Central Asia,Upper middle income,2006
Europe and Central Asia,Upper middle income,2002
Europe and Central Asia,Upper middle income,2004
Europe and Central Asia,Upper middle income,2011
Europe and Central Asia,Upper middle income,2013
Europe and Central Asia,Upper middle income,2011
Europe and Central Asia,Upper middle income,2010
Middle East and North Africa,Lower middle income,1980
Europe and Central Asia,Upper middle income,2008
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,2010
Europe and Central Asia,Upper middle income,2011
Europe and Central Asia,Upper middle income,2008
Middle East and North Africa,Lower middle income,2005
Middle East and North Africa,Lower middle income,2005
Middle East and North Africa,Lower middle income,2008
Middle East and North Africa,Lower middle income,2008
Middle East and North Africa,Lower middle income,2005
Middle East and North Africa,Lower middle income,1970
Middle East and North Africa,Lower middle income,1964
Middle East and North Africa,Lower middle income,1989
Middle East and North Africa,Lower middle income,1925
Middle East and North Africa,Lower middle income,1970
Middle East and North Africa,Lower middle income,1905
Middle East and North Africa,Lower middle income,1905
Middle East and North Africa,Lower middle income,1972
Middle East and North Africa,Lower middle income,1969
Middle East and North Africa,Lower middle income,2008
Middle East and North Africa,Lower middle income,2009
Middle East and North Africa,Lower middle income,2009
Middle East and North Africa,Lower middle income,1882
Middle East and North Africa,Lower middle income,1966
Middle East and North Africa,Lower middle income,1975
East Asia and Pacific,High income,1963
Middle East and North Africa,Lower middle income,1965
Middle East and North Africa,Lower middle income,1984
Middle East and North Africa,Lower middle income,1964
East Asia and Pacific,High income,1998
Europe and Central Asia,High income,1840
Europe and Central Asia,Upper middle income,1997
Europe and Central Asia,Upper middle income,1993
Middle East and North Africa,High income,2004
Middle East and North Africa,High income,2001
Middle East and North Africa,High income,1968
South Asia,Lower middle income,2006
South Asia,Lower middle income,1993
South Asia,Lower middle income,2002
South Asia,Lower middle income,1996
South Asia,Lower middle income,2002
South Asia,Lower middle income,2002
South Asia,Lower middle income,2012
South Asia,Lower middle income,2013
South Asia,Lower middle income,2008
South Asia,Lower middle income,1957
Middle East and North Africa,Lower middle income,1970
Middle East and North Africa,Lower middle income,2004
South Asia,Lower middle income,2013
South Asia,Lower middle income,2013
Middle East and North Africa,Lower middle income,1995
Middle East and North Africa,Lower middle income,1900
Middle East and North Africa,Lower middle income,1990
Middle East and North Africa,Lower middle income,1965
Europe and Central Asia,Upper middle income,1968
Europe and Central Asia,High income,1979
Europe and Central Asia,High income,1827
Europe and Central Asia,High income,1827
Europe and Central Asia,High income,1996
Europe and Central Asia,High income,1852
Europe and Central Asia,High income,1995
Europe and Central Asia,High income,1879
Middle East and North Africa,Lower middle income,1970
Middle East and North Africa,Lower middle income,2007
Middle East and North Africa,Lower middle income,1964
Middle East and North Africa,Lower middle income,1986
Middle East and North Africa,Lower middle income,1992
Middle East and North Africa,Lower middle income,2001
Middle East and North Africa,Lower middle income,1978
Europe and Central Asia,High income,1995
Middle East and North Africa,Lower middle income,2005
Middle East and North Africa,Lower middle income,2001
Middle East and North Africa,Lower middle income,1986
Middle East and North Africa,Lower middle income,1975
Middle East and North Africa,Lower middle income,1974
Middle East and North Africa,Lower middle income,1984
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1995
Middle East and North Africa,Lower middle income,1978
Middle East and North Africa,Lower middle income,1986
Middle East and North Africa,Lower middle income,1989
Middle East and North Africa,Lower middle income,1984
Middle East and North Africa,Lower middle income,1978
Middle East and North Africa,Lower middle income,1977
Middle East and North Africa,Lower middle income,1983
Middle East and North Africa,Lower middle income,1980
Sub-Saharan Africa,Lower middle income,1963
Middle East and North Africa,Lower middle income,1987
Middle East and North Africa,Lower middle income,1983
Europe and Central Asia,High income,1898
Middle East and North Africa,Lower middle income,1992
Europe and Central Asia,High income,1860
Middle East and North Africa,Lower middle income,1981
Middle East and North Africa,Lower middle income,2001
Middle East and North Africa,Lower middle income,2000
Middle East and North Africa,Lower middle income,1998
Middle East and North Africa,Lower middle income,1998
Middle East and North Africa,Lower middle income,1977
Middle East and North Africa,Lower middle income,1981
Middle East and North Africa,Lower middle income,1990
Middle East and North Africa,Lower middle income,2009
Middle East and North Africa,Lower middle income,2010
Middle East and North Africa,Lower middle income,2013
Middle East and North Africa,Lower middle income,1990
Middle East and North Africa,Lower middle income,2011
Middle East and North Africa,Lower middle income,1977
Middle East and North Africa,Lower middle income,2014
Middle East and North Africa,Lower middle income,2010
Middle East and North Africa,Lower middle income,2011
Middle East and North Africa,Lower middle income,2009
Middle East and North Africa,Lower middle income,2014
Middle East and North Africa,Lower middle income,2014
Sub-Saharan Africa,Lower middle income,1962
Middle East and North Africa,Lower middle income,1984
Middle East and North Africa,Lower middle income,1986
Middle East and North Africa,Lower middle income,1988
Europe and Central Asia,High income,1988
Europe and Central Asia,High income,2010
Sub-Saharan Africa,Lower middle income,2007
Sub-Saharan Africa,Lower middle income,2006
Sub-Saharan Africa,Lower middle income,1962
Sub-Saharan Africa,Lower middle income,1992
Sub-Saharan Africa,Lower middle income,2007
Sub-Saharan Africa,Lower middle income,2003
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2004
Sub-Saharan Africa,Lower middle income,1999
Sub-Saharan Africa,Lower middle income,2007
Sub-Saharan Africa,Lower middle income,2007
Sub-Saharan Africa,Lower middle income,2012
Sub-Saharan Africa,Lower middle income,2000
Sub-Saharan Africa,Lower middle income,2007
Sub-Saharan Africa,Lower middle income,2002
Sub-Saharan Africa,Lower middle income,2011
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2012
Sub-Saharan Africa,Lower middle income,2012
Sub-Saharan Africa,Lower middle income,2011
Sub-Saharan Africa,Lower middle income,2012
Sub-Saharan Africa,Lower middle income,2012
Sub-Saharan Africa,Lower middle income,2011
Sub-Saharan Africa,Lower middle income,2012
Sub-Saharan Africa,Lower middle income,2011
Sub-Saharan Africa,Lower middle income,2011
Sub-Saharan Africa,Lower middle income,2011
Sub-Saharan Africa,Lower middle income,2005
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2012
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2012
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2009
Europe and Central Asia,High income,1920
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,1983
Europe and Central Asia,High income,1965
Sub-Saharan Africa,Lower middle income,2009
Sub-Saharan Africa,Lower middle income,2009
Latin America and Caribbean,Upper middle income,1959
Latin America and Caribbean,Upper middle income,1978
Latin America and Caribbean,Upper middle income,1947
Latin America and Caribbean,Upper middle income,1958
Latin America and Caribbean,Upper middle income,1948
Latin America and Caribbean,Upper middle income,1968
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,2000
Europe and Central Asia,High income,1926
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1996
Latin America and Caribbean,Upper middle income,1958
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,1898
Latin America and Caribbean,Upper middle income,1957
Latin America and Caribbean,Upper middle income,1964
Latin America and Caribbean,Upper middle income,1994
Latin America and Caribbean,Upper middle income,1991
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1967
Europe and Central Asia,High income,1711
Latin America and Caribbean,Upper middle income,1956
Europe and Central Asia,High income,1925
Latin America and Caribbean,Upper middle income,1953
Latin America and Caribbean,Upper middle income,1964
Europe and Central Asia,High income,1836
Latin America and Caribbean,Upper middle income,1963
Latin America and Caribbean,Upper middle income,1957
Latin America and Caribbean,Lower middle income,2002
Latin America and Caribbean,Lower middle income,1999
Latin America and Caribbean,Lower middle income,1990
Latin America and Caribbean,Lower middle income,1992
Latin America and Caribbean,Lower middle income,2001
Latin America and Caribbean,Lower middle income,1999
Latin America and Caribbean,Lower middle income,1984
Latin America and Caribbean,Lower middle income,1988
Latin America and Caribbean,Lower middle income,2000
Latin America and Caribbean,Lower middle income,1993
Latin America and Caribbean,Lower middle income,2000
North America,High income,1974
Latin America and Caribbean,Lower middle income,1999
Latin America and Caribbean,Lower middle income,2003
Latin America and Caribbean,Lower middle income,1998
Latin America and Caribbean,Lower middle income,1998
Latin America and Caribbean,Lower middle income,1892
Latin America and Caribbean,Lower middle income,1993
Latin America and Caribbean,Lower middle income,1993
Latin America and Caribbean,Lower middle income,1994
Latin America and Caribbean,Lower middle income,2004
Latin America and Caribbean,Lower middle income,2006
Europe and Central Asia,Upper middle income,2005
Europe and Central Asia,Upper middle income,2006
Europe and Central Asia,Upper middle income,2004
Europe and Central Asia,Upper middle income,2008
Europe and Central Asia,Upper middle income,2011
Europe and Central Asia,Upper middle income,2005
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,2004
Europe and Central Asia,Upper middle income,2003
Europe and Central Asia,Upper middle income,1977
Europe and Central Asia,Upper middle income,2008
Europe and Central Asia,Upper middle income,1977
Europe and Central Asia,Upper middle income,2005
Sub-Saharan Africa,Upper middle income,2008
Europe and Central Asia,Upper middle income,1975
Europe and Central Asia,Upper middle income,1997
Europe and Central Asia,Upper middle income,1992
North America,High income,1907
Europe and Central Asia,Upper middle income,1949
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,1976
Sub-Saharan Africa,Upper middle income,2007
Europe and Central Asia,Upper middle income,2000
Europe and Central Asia,Upper middle income,2005
Europe and Central Asia,Upper middle income,2003
Europe and Central Asia,Upper middle income,2005
Europe and Central Asia,Upper middle income,1997
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,2007
Europe and Central Asia,Upper middle income,2010
Europe and Central Asia,Upper middle income,2015
Europe and Central Asia,Upper middle income,2012
Europe and Central Asia,Upper middle income,2012
Europe and Central Asia,Upper middle income,2010
Europe and Central Asia,Upper middle income,2000
Europe and Central Asia,Upper middle income,2008
Europe and Central Asia,Upper middle income,2014
Europe and Central Asia,Upper middle income,2014
Europe and Central Asia,Upper middle income,2011
Europe and Central Asia,Upper middle income,2017
Europe and Central Asia,Upper middle income,2015
Europe and Central Asia,Upper middle income,2016
Sub-Saharan Africa,Upper middle income,1963
Latin America and Caribbean,Upper middle income,1972
Sub-Saharan Africa,Upper middle income,1967
Sub-Saharan Africa,Upper middle income,1996
Sub-Saharan Africa,Upper middle income,1997
Sub-Saharan Africa,Upper middle income,2002
Sub-Saharan Africa,Upper middle income,2012
Sub-Saharan Africa,Upper middle income,1991
Sub-Saharan Africa,Upper middle income,1989
Sub-Saharan Africa,Upper middle income,2006
Sub-Saharan Africa,Upper middle income,1974
Sub-Saharan Africa,Upper middle income,2003
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1992
Latin America and Caribbean,Upper middle income,1976
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1972
North America,High income,1967
Latin America and Caribbean,Upper middle income,2004
Latin America and Caribbean,Upper middle income,2005
Latin America and Caribbean,Upper middle income,2013
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,2006
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1996
Latin America and Caribbean,Upper middle income,1969
Latin America and Caribbean,Upper middle income,1984
Latin America and Caribbean,Upper middle income,2000
Latin America and Caribbean,Upper middle income,1995
Latin America and Caribbean,Upper middle income,1993
Latin America and Caribbean,Upper middle income,1994
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1971
Latin America and Caribbean,Upper middle income,1966
North America,High income,1967
Latin America and Caribbean,Upper middle income,1992
Latin America and Caribbean,Upper middle income,1984
Latin America and Caribbean,Upper middle income,1973
Latin America and Caribbean,Upper middle income,1964
Latin America and Caribbean,Upper middle income,1909
Latin America and Caribbean,Upper middle income,2001
Latin America and Caribbean,Upper middle income,1909
Latin America and Caribbean,Upper middle income,1966
Latin America and Caribbean,Upper middle income,1968
Latin America and Caribbean,Upper middle income,1915
Latin America and Caribbean,Upper middle income,1971
Latin America and Caribbean,Upper middle income,1970
Latin America and Caribbean,Upper middle income,1968
Latin America and Caribbean,Upper middle income,1966
Latin America and Caribbean,Upper middle income,1998
Latin America and Caribbean,Upper middle income,1999
Latin America and Caribbean,Upper middle income,1972
Latin America and Caribbean,Upper middle income,1990
Latin America and Caribbean,Upper middle income,1974
Latin America and Caribbean,Upper middle income,1971
Latin America and Caribbean,Upper middle income,1961
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1989
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1995
Europe and Central Asia,High income,1994
South Asia,Lower middle income,2003
Europe and Central Asia,High income,1994
Europe and Central Asia,High income,1966
Europe and Central Asia,High income,1585
Europe and Central Asia,High income,1669
Europe and Central Asia,High income,1920
Europe and Central Asia,High income,2003
Europe and Central Asia,High income,1562
Europe and Central Asia,High income,1995
Europe and Central Asia,High income,1863
Europe and Central Asia,High income,1669
Europe and Central Asia,High income,1365
Europe and Central Asia,High income,1908
South Asia,Lower middle income,1996
Europe and Central Asia,High income,1840
Europe and Central Asia,High income,2002
Europe and Central Asia,High income,2001
Europe and Central Asia,High income,2004
Europe and Central Asia,High income,2003
Europe and Central Asia,High income,1811
Europe and Central Asia,High income,1815
South Asia,Lower middle income,1953
Europe and Central Asia,High income,1867
Europe and Central Asia,High income,1872
South Asia,Lower middle income,1987
Europe and Central Asia,High income,1947
Europe and Central Asia,High income,1816
Europe and Central Asia,High income,1812
Europe and Central Asia,High income,1841
Europe and Central Asia,High income,1898
Europe and Central Asia,High income,1617
Europe and Central Asia,High income,2006
Europe and Central Asia,High income,2015
Europe and Central Asia,High income,1365
Europe and Central Asia,High income,1765
Europe and Central Asia,High income,1915
Europe and Central Asia,High income,1898
Europe and Central Asia,High income,2006
Europe and Central Asia,High income,2010
Europe and Central Asia,High income,2008
Europe and Central Asia,High income,2013
Europe and Central Asia,High income,2011
Europe and Central Asia,High income,2007
Europe and Central Asia,High income,2007
Europe and Central Asia,High income,2007
Europe and Central Asia,High income,2007
Europe and Central Asia,High income,2007
Europe and Central Asia,High income,2007
Europe and Central Asia,High income,2011
Europe and Central Asia,Upper middle income,1920
Europe and Central Asia,Upper middle income,1920
South Asia,Lower middle income,2001
Europe and Central Asia,Upper middle income,1964
Europe and Central Asia,Upper middle income,1920
South Asia,Lower middle income,2000
Europe and Central Asia,Upper middle income,1930
Europe and Central Asia,Upper middle income,1929
Europe and Central Asia,Upper middle income,1881
Europe and Central Asia,Upper middle income,1920
South Asia,Lower middle income,2006
Europe and Central Asia,Upper middle income,1921
Europe and Central Asia,Upper middle income,1922
South Asia,Lower middle income,2003
Europe and Central Asia,Upper middle income,1937
Europe and Central Asia,Upper middle income,1970
Latin America and Caribbean,Lower middle income,1967
Europe and Central Asia,Upper middle income,1930
Europe and Central Asia,Upper middle income,1919
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,1993
Europe and Central Asia,Upper middle income,1946
Europe and Central Asia,Upper middle income,1920
Europe and Central Asia,Upper middle income,1919
South Asia,Lower middle income,1989
Europe and Central Asia,Upper middle income,1938
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,1967
Europe and Central Asia,Upper middle income,2000
Europe and Central Asia,Upper middle income,1994
Europe and Central Asia,Upper middle income,1995
Europe and Central Asia,Upper middle income,1993
Europe and Central Asia,Upper middle income,1991
Europe and Central Asia,Upper middle income,1999
Europe and Central Asia,Upper middle income,1961
Europe and Central Asia,Upper middle income,2000
Europe and Central Asia,Upper middle income,2001
Europe and Central Asia,Upper middle income,2006
Europe and Central Asia,Upper middle income,2008
Europe and Central Asia,Upper middle income,2006
Europe and Central Asia,Upper middle income,1992
Middle East and North Africa,High income,2001
Europe and Central Asia,Upper middle income,1992
Europe and Central Asia,Upper middle income,1999
Europe and Central Asia,Upper middle income,2011
Europe and Central Asia,Upper middle income,1923
Europe and Central Asia,Upper middle income,1998
Europe and Central Asia,Upper middle income,2015
Europe and Central Asia,Upper middle income,2018
Europe and Central Asia,Upper middle income,2012
Latin America and Caribbean,High income,1974
Middle East and North Africa,High income,2001
